Position   Rating   Sudoku_in_suduku17C_list                                                                    Canonical_form                                                                              Sudoku_from_sudokugarden.de                                                                 Cmp    Date
   38499      999   8_1_3____+___5___62+_________+___2_9__5+1_____7__+_________+_2_67____+______34_+______1__   _________+_____1__2+_34____5_+_________+__5___64_+7___18___+________1+______9_7+2_64_____   ________4+__8_7____+__7______+____3_17_+_4_9_____+_6____5__+_9_4____6+___2_____+__1_____3   PERM   2006-07-05
    4943      134   ____51___+_8_____2_+_________+_4_8__3__+___9____1+______5__+5_1____6_+___28____+3_____7__   _________+_______12+__3__4___+______3_4+__512____+_6__7____+_2_______+_7___84__+1_____9__   _91______+_________+___6____8+8___5___2+3____9___+____1____+____4_5__+6_8______+___7__19_   PERM   2006-07-06
   27292      133   2___1_4__+___6____5+_________+___3___64+87_______+1________+_____12__+_6__5____+__3____1_   _________+_____1__2+__3_4__5_+_____61_5+__4______+_78______+___4___3_+_1__2____+6_____4__   8_9__1___+________2+_______43+_________+6____9___+_8__2___5+__2___1__+_5_2_____+____6__9_   PERM   2006-07-07
   14526      425   __8__1___+____2__3_+5_____4__+__76__5__+_1__3____+_________+_2_____1_+___5__7__+6__4_____   _________+_____1__2+__3_4__5_+______1__+__653____+_2______7+___6___3_+__4___8__+_1___7___   ___9___4_+__3_8____+__7___5__+_4___6___+____7_3__+9______2_+2__4_____+_________+__8__57__   PERM   2006-07-08
   18459      140   _38___1__+___24____+_________+_1_5___6_+2__7_____+______3__+7______2_+4____8___+____3___7   _________+_______12+__3_45___+___1___6_+__4______+_7__3__8_+___2__5__+_1_6_____+6_______4   _____3__1+_26_8____+________7+6________+__8__4___+___1____3+1______2_+_7_______+____65_8_   PERM   2006-07-09
    5391      132   ____61___+_5_____9_+_3_______+78____6__+___54___3+___9_____+___4___5_+6_____7__+2________   _________+_____1_23+_45__6___+______7__+____8_4__+8__92____+____3____+_6___4___+2______9_   5________+___72___1+8_9___6__+___3_____+___1____7+9______8_+____6____+____8__5_+_41______   PERM   2006-07-10
   35124      132   6__5_____+______72_+___1_____+_4__2____+___3____5+_7_______+____7_46_+5____1___+3_____8__   _________+_______12+__3_45___+______4__+_1_2_6___+_7_3_____+____8____+___1____7+8_4___5__   ____2_3__+____9____+_47______+___4___6_+_______7_+2___5____+__1___5__+_____92__+_367_____   PERM   2006-07-11
    2319      134   _____61_7+4__3_____+_5____8__+3__5___4_+2____7___+____1____+_71______+___42____+_________   _________+_______12+____34___+________3+___2__4__+__15___6_+___1___5_+_7___6___+43____8__   _1____4__+_____2_5_+3___86___+__6______+8_____9__+_5_4__1__+_______86+_________+_49______   PERM   2006-07-12
   31211      131   4_1______+____2_5__+_________+62__5____+___7___1_+_9______3+8__3_1___+______65_+___4_____   _________+_______12+__3__4___+_____34_5+_1__6____+7_____8__+____2____+___17___9+_35______   ______6__+_43______+__9__21__+_____6___+__5_____3+8__1_7___+_7_______+____9___5+6___5____   PERM   2006-07-13
   25034      136   1_____5_4+37_______+______2__+____6__3_+__2__4___+_5_______+6______9_+___2_5___+___83____   ________1+_______23+__4__5___+_____64_7+_2_______+3_____8__+___29____+__6_4____+_1_3_____   ________2+_4_____1_+_97_6____+__5______+2_1______+____8_9__+___2_3___+___1____5+_____96__   PERM   2006-07-14
   33753      216   54_6_____+____8__2_+_9_1_____+7___32___+______9_1+_________+___9__4__+2______3_+_6_______   _________+_______12+__3_45___+_____64__+_1_2_____+_789_____+___1___7_+__4___5__+_9_______   ____6___9+_51___7__+_8____4__+__6_2____+_7_______+___5__8__+_________+___8_4___+__3____62   PERM   2006-07-15
    2050      514   _____3_74+8___1____+___6____2+____5_8__+_4_2_____+_3____9__+9_____5__+___4_____+_______1_   _________+_______12+__3__4___+_____53_4+_6__7____+81_______+__7___5__+_2_______+9__1___8_   __1_98___+______62_+5_____3__+_____1__5+_6_2___4_+______7__+___67____+_________+__9_____8   PERM   2006-07-16
    3072      140   ____148__+3_9______+7________+6__2___5_+______1_3+_____7___+_1______4+___9___2_+____3____   ________1+_______23+__4_56___+_____1___+_35______+7__8____9+____3____+_6____5__+8__2_____   ___2___5_+4__6_____+_7______1+__28_____+_9______7+__5___6__+_____1___+_3__45___+______2__   PERM   2006-07-17
    9281      410   ___4_21__+89____6__+7________+____87_3_+_2__9____+__4______+5_______7+_______9_+___1_____   ________1+_____2___+__3____4_+____562__+__4______+_17___8__+___74___9+_5_1_____+6________   2_____43_+8__5_1___+______7__+___8_____+_3_______+__7___6__+_9__47___+____3__1_+________5   PERM   2006-07-18
    7588      133   ___2__1_8+53_______+_____6___+4___3__5_+___8__7__+_________+_82___6__+____54_7_+_________   _________+_____1__2+__3_4__5_+_________+____1_34_+26___7___+______7__+___2_8__6+5_4______   1_9______+______6__+___7_8__2+82_6_____+_________+____5_49_+___5____8+__4_9__1_+_________   PERM   2006-07-19
   35307      130   6_1______+___3___7_+_________+____1_89_+57___2___+3________+2__7_____+___9__1__+_6____4__   _________+_______12+__3__4___+________3+_1__56___+7_____4_8+____9_2__+__4_____7+__6_1____   _4___61_3+_____2___+__6___8__+78__3____+_______2_+______4__+____8__7_+_________+2_5____9_   PERM   2006-07-20
    2538      133   _____9__4+_4_____8_+____3____+3_9___5__+___65__1_+2________+___7__2__+_6_8_____+______9__   ________1+_______23+__4__5___+_____67__+____5____+12______8+____1____+___3__8__+_96___4__   _____5__8+__7_____9+_____3___+5________+___1___47+63___4___+__29_____+____2_3__+_______6_   PERM   2006-07-21
    5585      131   ____7__1_+_65______+4____8___+___3_2___+_71______+_________+2__5__4__+3_____2_8+____1____   _________+_______12+____34___+_______56+_____78__+__12_____+___1_____+_8__5_4__+74____3__   ______5_9+_6___7___+8______1_+4_3______+______7_6+_________+___48__3_+_7_______+__51___4_   PERM   2006-07-22
   11459      194   ___7__23_+_1_______+___3_____+_6__45___+2______8_+____1____+____6_1_5+3__8_____+9________   _________+_____1__2+_34____5_+________6+__748____+2_____1_9+____4__7_+1___5____+6________   2_8__1___+_______5_+___6___49+_9_____6_+_________+____327__+__79_____+__2___1__+___5_____   PERM   2006-07-23
   26801      635   2______64+___8_1___+5________+_18___3__+_3_7_____+____6____+___3__17_+6___4____+_________   _________+_____1__2+_34____5_+________1+____5__3_+__564____+______46_+_____7___+21___8___   __2__3_7_+1_____9__+_____6___+____1____+__7_9____+__6_____2+_______26+9__48____+________3   PERM   2006-07-24
    2225      216   _____51__+6___3____+4______8_+2_____3_7+___9__6__+___4_____+_3______5+___6___4_+_1_______   _________+_______12+__3_45___+_____1___+___6_____+47____5__+____8_4__+__9____6_+_512_____   ______8__+5____3___+___9__2__+__2____5_+_9__8____+_____4_3_+___62__7_+1___5____+3________   PERM   2006-07-25
    7885      134   ___2_54__+___3___5_+_1_______+____8__91+4_3______+_6_______+2_____3__+7___1____+_____6___   ________1+______23_+__4_56___+________5+_2___7___+78_3_____+___2___8_+__5____9_+1________   __5___2__+_____96__+___7_____+__482____+________9+8___5____+________7+______45_+19___3___   PERM   2006-07-26
    2434      279   _____74__+_6_1_____+_2_3_____+4___2____+________1+_______5_+____5_26_+3_14_____+______8__   ________1+_______2_+__3__4___+______5__+_____14_6+_27_3____+___8__3__+4___7____+6___2____   ______2__+_1_9_____+________3+_______4_+_3_____18+9__52____+2____8___+5____1___+__7____9_   PERM   2006-07-27
    5380      356   ____61___+_3_____4_+______2__+___32__5_+6_1_____7+8________+_4_9_____+2__4_____+______6__   ________1+_____2__3+_45__6___+_____7_4_+____8____+3_____2__+____1____+__4____6_+_2_93____   ____9_4_7+1___8____+6________+_____6___+__9_____4+___5_18__+_8_____1_+__4_2____+_____3___   PERM   2006-07-28
   34193      132   6_____2__+____3____+________1+____5_38_+_4_____6_+19_______+3_____7__+2__1_____+___4_9___   _________+_______12+__3_45__6+______73_+__4__85__+_6_______+___16____+___2_____+5_____9__   4__3_65__+______72_+_________+__5______+3____1__6+_______49+____7____+_6______8+___52____   PERM   2006-07-29
   22226      396   _7____39_+5__8_1___+_____4___+73_______+6_____1__+________8+___69__7_+__1______+____2____   ________1+_____2___+__3____45+______6__+____7_28_+_953_____+___93____+_2__4____+8________   7___4____+_9_______+___16____+1_56_____+____3_9_7+________8+__6___45_+_____7___+_______2_   PERM   2006-07-30
    4775      150   ____5__76+4______8_+2________+_6_4_8___+_7____5__+___2_____+___1__3__+8_____2__+____9____   _________+_______12+__3_45___+________3+_6____4_5+7__8_____+___1_3___+___2_____+_94____8_   ___6___71+__3__9___+________8+8_4______+__2______+___57_3__+_________+17__8____+______4_2   PERM   2006-07-31
    1059      133   ______24_+___83____+______6__+65_____2_+_3_1_____+_____74__+____5__31+4____6___+_________   _________+_______12+_____3__4+_____45__+__1_2____+__6____7_+____7____+_3__1___8+48____3__   _3_______+_98______+___51____+_8___6___+__9___4_3+____7_5__+_____3__8+_________+7_54_____   PERM   2006-08-01
   20745      134   _59___3__+___4_2___+___1_____+1______2_+_8__5____+_______1_+____7_8_9+3__6_____+______5__   ________1+_______23+__4_56___+_____76__+_1_______+_2_1_____+___4____8+__6______+5_7___9__   ___6_____+59_____3_+___7_8___+____4_92_+_______5_+__31_____+________6+__6_____8+2___5____   PERM   2006-08-02
   17562      389   _3____4__+_4_8_____+___1_____+6___457__+1________+____3____+___2___81+8______6_+_____7___   _________+_______12+__3_45___+_____6__1+_35______+_4_______+___2_1___+_7____43_+6____8___   ____6____+1________+5___389__+__37_____+__6___3__+___1_____+_____9___+7_______5+___4___17   PERM   2006-08-03
   14152      238   __63__7__+_4__5____+_________+53_1_____+___6__8__+2________+_____4_26+7___2____+_______3_   _________+_____1__2+__3_4__5_+______6__+____7_1_4+__8_5____+_____63__+_4_______+56_2_____   _1_______+___57___4+3______2_+____9___8+_7_______+_34______+8__2_3___+________7+___4___1_   PERM   2006-08-04
   10420      136   ___6___31+8__4_____+_______2_+6_____4__+_7__2____+____1____+___7__5__+_31______+5_2______   _________+_______12+__3_45___+_____1___+___2_6___+__7___4__+_6______3+21_______+7___8_5__   34_______+2_8______+_____9_8_+__7__1___+_____53_4+________2+__5____1_+____3____+_9__2____   PERM   2006-08-05
   26269      565   1_9______+___7___4_+6________+____9_6_1+_7_3_____+__8______+_3____87_+_____69__+____2____   ________1+_______23+__4__5___+_______6_+_____75__+13__2____+____8____+2__1_____+6_5___7__   _3______8+____49___+____1____+_2_3_____+9_____14_+_____7___+__1___9__+6________+___2__7_3   PERM   2006-08-06
   16136    77258   _2______4+___3__6__+__1______+__315____+6_____8__+______2__+7___48___+_8___7___+_______1_   ________1+_____2___+_34____5_+____3___4+_5_6_____+7_____2__+___36____+2______7_+8__1_____   ___5__2__+19_______+4_____3__+__2______+____4____+___8___71+9_______8+_1__7____+_____25__   PERM   2006-08-07
    8123      786   ___3____4+_8_____5_+29_______+______91_+3__6_____+___7_____+7____5__6+____9_2__+____1____   _________+_______12+__3__4__5+_____6___+___27____+_48___3__+_____89__+2__5_____+7______6_   ________9+___4____8+2____5_3_+4_8______+__6_3____+_____17__+___89____+7_____5__+______2__   PERM   2006-08-08
   13372      259   __3____21+_6_7_____+_________+2___81___+57____6__+______4__+__8_2____+___6__7__+1________   _________+_____1__2+_34____5_+______3__+____4__6_+1____2___+___36_4__+2_____7_1+8________   7_4__1___+___2____5+_________+____7____+_5______2+_____8_4_+_2_56____+_3_______+____4_78_   PERM   2006-08-09
   22418      403   _7__3____+___1__8__+_________+5_14_____+_______27+_______8_+1__5__4_3+_2__67___+_________   _________+_____1__2+__3____4_+_________+_____51_6+_27_4__8_+___48__7_+3________+51_______   ___9__5__+_7____3__+___2_7___+9_______2+____1_4__+____4____+________9+_4__3_1__+5_______8   PERM   2006-08-10
   16018     3297   _165_____+____2__4_+_8_______+3__6___7_+_5_8__2__+_________+______8_1+7___4____+2________   _________+_____1__2+_34____5_+_______3_+__5___46_+_7__28___+___6_____+__24_____+_8______1   __9_2___6+5____3__1+_________+___76____+2________+3_____4__+_17_____9+_____42__+__6______   PERM   2006-08-11
    6437      135   ____83___+_6____2__+_________+___62_5__+3_4____1_+8________+_____4_31+_725_____+_________   _________+_______12+__3__4___+_________+____356__+17_____8_+___2_____+__6___4_3+7__18____   9__2_8___+_________+__5___63_+____35_6_+____4____+18______9+___1____8+_43______+_________   PERM   2006-08-12
   22462      738   _7__4_2__+3________+_________+1__8___3_+____9_4__+5________+_42___9__+_9_3____8+___1_____   _________+________1+__2__3_4_+________5+__3__6___+_1__7___8+____8____+__6___23_+7___1__6_   94__7____+___1__5_8+_2_______+____4__9_+1_5___3__+_________+3________+_9__2__4_+______1__   PERM   2006-08-13
   23706      131   _8_3_____+____6__4_+_1_______+___5__1_8+6_2_7____+______3__+7____4_2_+___1_____+4________   ________1+_______23+__4__5___+______4__+___13____+_56___7__+_____76__+__5______+3__2____8   __3__12__+________4+__2______+_15____3_+___6_____+___47___8+4________+_____2_5_+7_______6   PERM   2006-08-14
   16359      518   _2____6__+1____3___+5________+____2_75_+_134_____+_________+__467____+_______21+_____8___   _________+_____1_23+_45_6____+______4__+___2__3__+__7_____6+____57_1_+___8_____+36_______   __6___7__+2____8___+__5____1_+___5__6__+_4_______+_7____9__+____94___+__1____8_+___7___4_   PERM   2006-08-15
   27290      136   2___1__7_+_6_4_____+_________+5_____6__+_4_8_____+___2___1_+3___75___+______4_8+__1______   _________+_____1__2+__3_4__5_+______4__+___63__7_+18_______+_____8__1+__4__5___+2______6_   ________7+_21___5__+___89____+6____7___+8______9_+____3_1__+_7___26__+_________+9______3_   PERM   2006-08-16
   35018      136   6__3___4_+_2____7__+_________+___87__3_+_1____2__+__4______+____215__+8_3____6_+_________   _________+_____1__2+__3_4__5_+_________+____5_36_+27___8___+______4__+_____2__7+1_6_3____   ___5___3_+_9_____6_+_8_______+5_______2+____9_8__+3__4_____+_1__6_9__+4__2___5_+_________   PERM   2006-08-17
    1251      135   ______4_1+_8_6_____+______7__+_34______+___2___5_+7_1______+2___1__8_+____43___+______1__   ________1+_______23+__4__5___+________2+___36____+_7_2__4__+_____78__+21_______+3_6______   _25______+___3___4_+98_______+______8_2+________9+__71_____+________8+3____8_7_+____52___   PERM   2006-08-18
   27191      135   2____1___+____5_3__+_________+_5____4_8+_____6_1_+_3_7_____+6_1____2_+___43_5__+_________   _________+_____1__2+__3____4_+_________+_____25_1+_46_3____+____4__6_+1_____7__+2__8_5___   ___1_____+_4_6___2_+__5__8___+__8______+__7___5__+___42____+_____78__+_2_____4_+_6__3____   PERM   2006-08-19
    1905      132   _____163_+2________+_4_______+___86_5__+__32_____+_1_______+5___7___4+6__4_____+_______1_   ________1+_______2_+__3_45___+________3+_2____4__+56___7___+____3____+_1_____5_+8__1___7_   _8_______+_____29_4+___1__3__+4__6_3___+__2____8_+________7+___2_____+_3____6__+_7__8____   PERM   2006-08-20
   22796      132   _7_8__5__+2_______4+___3_____+9___21___+____4_7__+______8__+_43_6____+___7___1_+_________   _________+_____1__2+_34____5_+________3+__2_6___7+8__4_____+____2__4_+____7____+9_____18_   ________4+_86__2___+___7_____+_____87__+1__9_____+______3__+4________+97____5__+____36__8   PERM   2006-08-21
   17437      134   _3_____5_+_82______+___1_____+1__4__3__+______2_8+________6+_6__2____+4___8____+7______4_   _________+_______12+__3__4___+_____35_4+_1_______+62_____7_+____16___+___72____+8_____4__   _71______+6_4______+___5__9__+_________+9___3____+_______14+3_____29_+___6_1__7+_____4___   PERM   2006-08-22
   32764      130   5__2__3__+_4__7____+_________+6__3_5___+_______87+2________+___64_9__+_81______+_7_______   _________+_____1__2+__3_4__5_+________1+______6_7+__8_92___+_______4_+___53__9_+17_______   _________+_7___58__+____6__1_+_____27_5+_____8___+3_1______+____1____+_9____26_+___43____   PERM   2006-08-23
   17368      134   _3_____1_+_76______+___9_____+1_5_3____+____2_7__+4________+______2_8+5__1_____+___4__6__   _________+_______12+__3_45___+_____64_5+_7______6+28_______+___17__8_+___9_____+5________   _14_8____+_5_______+____6_3__+_____9___+8_______1+3_7______+______62_+_4___1___+_____57__   PERM   2006-08-24
   16727      187   _2_3_____+4______7_+______1__+_3_____2_+__6__5___+____1____+__1___6_3+8__2_____+___4__5__   ________1+_______2_+__3_45___+___1___6_+__4___3__+_5__7____+___3_____+_8____4__+1__6_2___   5___48___+__1___9__+____2_6__+_8_9_____+________5+4______2_+__63_____+____5____+_9____8__   PERM   2006-08-25
   34853      377   6__1_4___+_7____2_8+_________+4______1_+_5__2____+_________+_2_68_5__+1_____39_+_________   _________+_____1__2+__3____4_+_________+____56__1+_78_4__3_+_________+___83__9_+21______7   _8_______+_6____5_4+_____12__+7________+1_______3+____6___8+_________+3____71__+_9__4___6   PERM   2006-08-26
   37216      640   7_1______+___5__8__+_____4___+___31____+_8____5__+____6_4__+3______76+_4_2_____+_______1_   ________1+_______23+__4_56___+_____45__+_2_______+_3______7+___21____+__67__8__+5________   ______5_3+______4__+89__7____+_____8___+__1_9__6_+4_3______+_7_____8_+___5__1__+___3_____   PERM   2006-08-27
   33540      135   51__7__6_+___2__3__+_________+46______1+___8___5_+__23_____+____51___+3_____2__+_________   _________+_______12+__3__4___+_________+_____34__+_12_5___6+____2_7__+_581_____+4_____3__   4_85___6_+_________+_____2__9+___84____+_________+__9_____2+6_7___4__+_2___9___+_____1_8_   PERM   2006-08-28
   15232      133   _1__3____+__7___8__+_3_______+8______4_+____7___3+_____2_7_+2__8__5__+___4__1__+________6   ________1+______23_+__4__5___+____1__2_+___4_____+_65______+___1_6___+_37_____5+8___2____   ______9__+_______31+2__7_____+_7_______+__9____1_+___24____+___53_2__+__1__6___+49_______   PERM   2006-08-29
   10101      138   ___51____+_______68+3______2_+___7__4__+8_2______+6________+_____8__2+_5____1__+_4_3_____   ________1+_______23+__4__5___+_____64__+__7___8__+_2__3____+___7_8___+13_______+2_______6   _5_9____4+______6__+_3_______+____7____+4___68___+_______51+___1___3_+__6___7__+7_8______   PERM   2006-08-30
    1559      145   ______7_3+46_______+1________+____735__+6______4_+_8__2____+___1___5_+__7___2__+___6_____   ________1+_______23+____45___+_____65__+__17_____+__2______+___3____2+_6_____8_+45___7___   _____83__+_1_9_____+______7__+__6_____9+___8___41+7____5___+___14____+3________+5_7______   PERM   2006-08-31
    7858     1380   ___2_4__1+6_____3__+_________+__8_6__7_+_4______2+___1_____+72___5___+____3_86_+_________   _________+_____1__2+_34____5_+_________+__6_37___+2_____1_8+____4__3_+_5_______+1__8__7__   __4___8__+___1_____+7____9__2+_________+_____5_79+_28_6____+_________+_9_____5_+___84_1__   PERM   2006-09-01
   30288      131   4______3_+____1____+______6__+3______19+2__65____+___7_____+_76___5__+___3_4___+_____8___   ________1+________2+__3_45___+______36_+___1_24__+_7___8___+____9____+__4_7____+2_______8   _8__46___+_2_____75+________1+___5_____+_______4_+_9__8____+______9_8+1_57_____+______3__   PERM   2006-09-02
   13880      132   __5_28___+_7____6__+_________+3__6__4__+5_27_____+8________+_1__7____+_______85+___4_____   _________+_____1__2+_34____5_+______3__+1____67__+2_____54_+___35____+__2_____8+6________   _________+__98_____+_____425_+__3_7___9+____5____+____42__8+45_______+___6__8__+________3   PERM   2006-09-03
   32793      130   5__2_4___+7_____8__+________1+____1_9__+6______5_+___7_____+_19______+___3___6_+48_______   ________1+_______23+__4_56_7_+_____7___+_3_______+5____89__+___3_____+__6___4__+_1__2____   9___1_8__+____5____+_______4_+__3______+_5__28__6+_74______+_____7_3_+6_______2+___4_____   PERM   2006-09-04
   30642      132   4___2____+___7___5_+________3+____4_6__+_3_____7_+__1______+6_____2_4+_7_3_1___+______8__   ________1+_____2__3+__4_5____+____4__6_+_1_______+3_______2+___3___4_+__6___75_+2____8___   _3____2__+___9_____+__6__8___+__1_____6+____2_5__+8________+_4_______+25__3____+_____6_98   PERM   2006-09-05
    8707      141   ___32___4+_81______+_________+___1_7_5_+2________+_____8___+42__6____+______71_+6_____3__   _________+_______12+__3_45___+______4__+___1_____+_6_7_2___+____8_34_+5_____8__+72_______   42______9+___81____+_________+______71_+_____64__+_6_2_9___+_____2___+1_7____5_+__8______   PERM   2006-09-06
    5932      134   ____716__+_3_____2_+_________+___25__8_+7_1______+6________+_2_8_____+5__3_____+4_____7__   _________+_____1__2+__3____4_+________5+__436____+__7_____1+___4___6_+_5_______+21__78___   _________+_2___7___+____1___3+_____4_7_+8________+3_1___6_9+_7____42_+____8____+_6__3____   PERM   2006-09-07
   24892      132   1_____2__+____83___+_________+_84_____6+___9__1__+_7_2_____+3__6_____+_______47+______58_   _________+_______12+__3__4___+_____15__+_26______+78_______+____7_3__+__4___9__+5__82____   _1_____3_+_________+___68____+_8___7___+______4_2+______65_+4_6_____7+_____9_1_+__2__3___   PERM   2006-09-08
   14151      210   __63__2__+15__4____+_________+4___81___+_2____6__+_________+___6_73__+8______1_+___2_____   _________+________1+__2__3_4_+_____2___+__3_5____+_6__1___7+_____432_+_1_____8_+_7__6____   __9__1_8_+________2+_________+_2_____3_+_4_5_____+_____819_+_5_2____4+__16_____+_____9___   PERM   2006-09-09
    5145      179   ____6__28+_51______+_________+7__3___9_+_4____1__+8___2____+___1_46__+2________+___5_____   _________+_______12+__3_45___+______4__+_1_______+62_3_____+___2___6_+__4___5__+_7__8_9__   7___5____+_____46__+1________+6__7_____+____9_42_+______8__+_4_______+_2___8___+___13___7   PERM   2006-09-10
   16355      138   _2____6__+____9__5_+_1_______+___6__2_1+7_3_4____+________9+4__8___7_+___2_____+5________   _________+_____1__2+_34____5_+________6+___37____+8_2_____9+______17_+___5___3_+__9__8___   6_7___8__+______9__+____24___+52_____3_+_________+___1__6__+_______41+____3__2_+8__7_____   PERM   2006-09-11
   18913      132   _4__6____+______35_+____1____+__8___1__+3__7_____+___4___6_+4__2__7__+_6___5___+________3   ________1+_____2__3+_45______+_____3_4_+__6_2_7__+5________+____5_6__+__18_____+_3____2__   _4_______+___6_9___+_7______5+____9____+6_______7+__1__3_5_+__57_____+_____42__+__3____9_   PERM   2006-09-12
   17783      133   _3__7____+____4_1__+6_____5__+5_____2__+1________+_______9_+_8_6___7_+___5_1___+___2___3_   _________+_____1__2+_34____5_+_________+__6___34_+7___28___+______9_8+___3_____+___465___   ______2__+_____3___+_____9__6+_1_4_____+_____7__9+_8______3+6_____4__+7__5__1__+9_3______   PERM   2006-09-13
   12260      822   ___8_1___+_______64+_________+_8_5__1__+____6__3_+_5_7_____+2_6_4____+______8_7+4________   _________+_______12+____34___+______3_5+__2______+_162_____+___1___7_+3___8_4__+8___5____   __5__4___+78____6__+______3__+___7___4_+_3_6_____+__2____5_+_____5___+86_______+____49___   PERM   2006-09-14
   27960      231   2_1______+_______94+___6_____+84_____3_+___12_7__+____5____+_3_4_9___+______2__+_____8___   ________1+_____2___+__3____45+_______6_+___45____+27_______+______8__+_____927_+1_4_3____   ______85_+1___7_3__+___26____+_7_______+_____39__+_6___5___+__3______+____4___6+__8__9___   PERM   2006-09-15
   34717     5532   6___7_3__+___2____4+_________+_52______+_4__3____+_____61__+7__5___1_+8_____6__+___4_____   _________+_____1__2+__3_4__5_+________1+__56____7+__8_3____+____6_3__+_1_____4_+27_______   _7_5_____+6______3_+_______48+___7__1__+__4__52__+__3______+_________+2__6__7__+__8_3____   PERM   2006-09-16
   16725      132   _2_3_____+_3_____7_+______51_+5_8______+____1____+______2__+___2_36__+1______8_+7__4_____   _________+_____1_23+__4_5___6+______47_+_1_______+_6_2_3___+____7____+___84_7__+3________   _________+___94__3_+__7_6_2__+_4_______+_____87_5+______8__+6______49+3________+___8_7___   PERM   2006-09-17
   13002     2990   __1_7____+___6____8+_________+4_____17_+_6_3_____+______2__+____12_4_+65______3+8________   _________+_____1__2+__3____4_+____3____+__564____+_7____8_1+___4___5_+12__7____+8________   ____16___+__3___7__+_4__5____+___3__8__+_1_____5_+_6_______+7_8_4____+_______1_+__98_____   PERM   2006-09-18
   17970      249   _3_5___4_+2___6____+______1__+___1_8___+________7+________6+6_7_2____+___4__83_+9________   ________1+________2+____34___+_______3_+__5_6_7__+_8_1_____+____7_54_+_9_______+21_8_____   __9______+7_1___3__+________2+__3___1__+____4____+_5__8___6+___1_9___+_4_____8_+_2______5   PERM   2006-09-19
   25714      227   1__5_3___+______42_+_________+_4_86____+___1____5+_7_______+____7_64_+3_____7__+5________   _________+_______12+__3_45___+______4__+_1_6_2___+_7_1_____+___2___6_+__4___38_+__5______   __9___2__+____3____+_84___9__+_________+___8_9___+36______5+__8__4___+____57__3+________6   PERM   2006-09-20
